season,season_type,start_date,completed,home_id,home_team,home_conference,home_division,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],away_id,away_team,away_conference,away_division,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],start_time_tbd,venue_id,venue
2022,regular,2022-09-02T00:00:00.000Z,true,2271,Henderson State,Great American,ii,30,9,7,7,7,2927,Southwestern Oklahoma,Great American,ii,13,7,3,3,0,false,5113,Ruggles Field at Carpenter-Haygood Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,5,UAB,Conference USA,fbs,59,28,10,21,0,2010,Alabama A&M,SWAC,fcs,0,0,0,0,0,false,7221,Protective Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,2025,Angelo State,Lone Star,ii,35,14,7,0,14,2123,Chadron State,Rocky Mountain,ii,0,0,0,0,0,false,5869,LeGrand Stadium at 1st Community Credit Union Field
2022,regular,2022-09-02T00:00:00.000Z,true,2509,Purdue,Big Ten,fbs,31,3,7,14,7,213,Penn State,Big Ten,fbs,35,0,21,0,14,false,3907,Ross-Ade Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,2911,William Jewell College,Great Lakes,ii,14,0,7,7,0,11,Colorado Mesa,Rocky Mountain,ii,37,14,14,6,3,false,4753,Greene Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,2692,Weber State,Big Sky,fcs,41,14,10,7,10,2848,Western Oregon,Lone Star,ii,5,2,0,3,0,false,3942,Stewart Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,2627,Tarleton State,Western Athletic,fcs,29,7,9,3,10,2400,Mississippi Valley State,SWAC,fcs,13,0,0,7,6,false,3827,"Memorial Stadium (Stephenville, TX)"
2022,regular,2022-09-02T00:00:00.000Z,true,2214,Emporia State,Mid America,ii,42,14,14,0,14,196,Northeastern State,Mid America,ii,17,0,14,3,0,false,5942,Francis G. Welch Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,137,Missouri Western,Mid America,ii,35,14,0,7,14,2122,Central Oklahoma,Mid America,ii,0,0,0,0,0,false,6055,Craig Field at Spratt Memorial Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,2403,Missouri Southern State,Mid America,ii,7,7,0,0,0,2438,Nebraska-Kearney,Mid America,ii,24,7,3,0,14,false,6054,Fred G. Hughes Stadium
2022,regular,2022-09-02T00:00:00.000Z,true,316,Dickinson State,,,2,0,0,0,2,2069,Black Hills State,Rocky Mountain,ii,17,0,0,14,3,false,6209,Henry Biesiot Activities Center
2022,regular,2022-09-02T00:00:00.000Z,true,2000,Abilene Christian,Western Athletic,fcs,28,7,14,0,7,2320,Lamar,Southland,fcs,14,14,0,0,0,false,5440,Wildcat Stadium (TX)
2022,regular,2022-09-02T00:00:00.000Z,true,2459,Northern Illinois,Mid-American,fbs,34,7,14,7,6,2197,Eastern Illinois,OVC,fcs,27,3,3,7,14,false,3764,Brigham Field at Huskie Stadium
2022,regular,2022-09-02T01:00:00.000Z,true,135,Minnesota,Big Ten,fbs,38,7,17,14,0,166,New Mexico State,FBS Independents,fbs,0,0,0,0,0,false,3953,TCF Bank Stadium
2022,regular,2022-09-02T02:00:00.000Z,true,9,Arizona State,Pac-12,fbs,40,3,21,13,3,2464,Northern Arizona,Big Sky,fcs,3,0,3,0,0,false,3947,Sun Devil Stadium
2022,regular,2022-09-02T02:30:00.000Z,true,278,Fresno State,Mountain West,fbs,35,21,0,7,7,13,Cal Poly,Big Sky,fcs,7,0,7,0,0,false,3660,Bulldog Stadium
2022,regular,2022-09-02T02:30:00.000Z,true,23,San José State,Mountain West,fbs,21,7,7,0,7,2502,Portland State,Big Sky,fcs,17,7,0,3,7,false,3935,Spartan Stadium
2022,regular,2022-09-02T22:00:00.000Z,true,222,Villanova,CAA,fcs,45,3,28,7,7,2329,Lehigh,Patriot,fcs,17,0,14,3,0,false,717,Villanova Stadium
2022,regular,2022-09-02T22:00:00.000Z,true,2532,Salisbury,New Jersey,iii,49,7,14,21,7,2015,Albright,Mid Atlantic,iii,0,0,0,0,0,false,6114,Sea Gull Stadium
2022,regular,2022-09-02T22:00:00.000Z,true,223,West Chester,Pennsylvania State Athletic,ii,17,0,14,0,3,2060,Bentley,Northeast 10,ii,16,0,0,16,0,false,4427,John A. Farrell Stadium
2022,regular,2022-09-02T22:30:00.000Z,true,40,Curry,Commonwealth Coast,iii,20,6,7,0,7,109,MIT,NEWMAC,iii,34,7,14,6,7,false,5830,Walter M. Katz Field
2022,regular,2022-09-02T23:00:00.000Z,true,2234,Franklin & Marshall,Centennial,iii,26,0,20,0,6,388,Lebanon Valley,Mid Atlantic,iii,7,0,0,7,0,false,7077,Shadek Stadium
2022,regular,2022-09-02T23:00:00.000Z,true,2909,Westfield State,MSCAC,iii,29,0,20,7,2,2884,Nichols,Commonwealth Coast,iii,30,0,3,14,13,false,6144,"Alumni Field (Westfield, MA)"
2022,regular,2022-09-02T23:00:00.000Z,true,127,Michigan State,Big Ten,fbs,35,7,14,0,14,2711,Western Michigan,Mid-American,fbs,13,3,0,10,0,false,3936,Spartan Stadium
2022,regular,2022-09-02T23:00:00.000Z,true,114,Fitchburg State,MSCAC,iii,33,7,7,7,12,110438,Dean College,ECFC,iii,28,0,7,14,7,false,5845,Elliot Field Athletic Complex
2022,regular,2022-09-02T23:00:00.000Z,true,174,Hobart,Liberty League,iii,36,7,8,7,14,365,Alfred,Empire 8,iii,6,0,6,0,0,false,5856,Boswell Field at David J. Urick Stadium
2022,regular,2022-09-02T23:00:00.000Z,true,402,Worcester State College,MSCAC,iii,21,7,7,0,7,2749,Worcester Polytechnic,NEWMAC,iii,58,14,17,14,13,false,5898,John Coughlin Memorial Field
2022,regular,2022-09-02T23:00:00.000Z,true,111674,Alvernia University,Mid Atlantic,iii,27,0,20,0,7,2667,Ursinus,Centennial,iii,59,21,10,7,21,false,5791,Turf Field
2022,regular,2022-09-02T23:00:00.000Z,true,2429,Charlotte,Conference USA,fbs,24,3,14,7,0,2729,William & Mary,CAA,fcs,41,10,7,3,21,false,4418,Jerry Richardson Stadium
2022,regular,2022-09-02T23:00:00.000Z,true,81,Springfield,NEWMAC,iii,42,7,14,7,14,2702,Western New England,Commonwealth Coast,iii,14,0,7,0,7,false,6119,Stagg Field
2022,regular,2022-09-02T23:00:00.000Z,true,2102,Carnegie Mellon,Presidents',iii,35,0,14,7,14,2721,Whitworth,Northwest,iii,17,0,10,7,0,false,5814,Gesling Stadium
2022,regular,2022-09-02T23:00:00.000Z,true,2771,Merrimack,NEC,fcs,17,3,7,0,7,107,Holy Cross,Patriot,fcs,31,10,9,5,7,false,6048,Duane Stadium
2022,regular,2022-09-02T23:00:00.000Z,true,2383,Merchant Marine,NEWMAC,iii,7,0,7,0,0,2221,FDU-Florham,Mid Atlantic,iii,17,0,7,10,0,false,5997,Brooks Stadium (NY)
2022,regular,2022-09-02T23:00:00.000Z,true,295,Old Dominion,Sun Belt,fbs,20,0,10,0,10,259,Virginia Tech,ACC,fbs,17,7,0,10,0,false,3918,Foreman Field
2022,regular,2022-09-02T23:00:00.000Z,true,2199,Eastern Michigan,Mid-American,fbs,42,0,14,14,14,2198,Eastern Kentucky,Atlantic Sun,fcs,34,0,10,7,17,false,3912,Rynearson Stadium
2022,regular,2022-09-02T23:30:00.000Z,true,150,Duke,ACC,fbs,30,10,14,3,3,218,Temple,American Athletic,fbs,0,0,0,0,0,false,3982,Wallace Wade Stadium
2022,regular,2022-09-03T00:00:00.000Z,true,84,Indiana,Big Ten,fbs,23,3,13,0,7,356,Illinois,Big Ten,fbs,20,7,3,7,3,false,3830,Memorial Stadium
2022,regular,2022-09-03T00:00:00.000Z,true,2305,Kansas,Big 12,fbs,56,21,14,7,14,2635,Tennessee Tech,OVC,fcs,10,0,3,0,7,false,3833,Memorial Stadium
2022,regular,2022-09-03T02:00:00.000Z,true,38,Colorado,Pac-12,fbs,13,3,3,0,7,2628,TCU,Big 12,fbs,38,0,7,10,21,false,3726,Folsom Field
2022,regular,2022-09-03T16:00:00.000Z,true,2523,Robert Morris,Big South,fcs,20,0,14,0,6,2168,Dayton,Pioneer,fcs,22,3,3,16,0,false,3777,Joe Walton Stadium
2022,regular,2022-09-03T16:00:00.000Z,true,2426,Navy,American Athletic,fbs,7,0,0,7,0,48,Delaware,CAA,fcs,14,7,0,7,0,false,3852,Navy-Marine Corps Memorial Stadium
2022,regular,2022-09-03T16:00:00.000Z,true,151,East Carolina,American Athletic,fbs,20,7,0,7,6,152,NC State,ACC,fbs,21,14,7,0,0,false,3699,Dowdy-Ficklen Stadium
2022,regular,2022-09-03T16:00:00.000Z,true,2127,Charleston Southern,Big South,fcs,38,7,10,14,7,2717,Western Carolina,Southern,fcs,52,17,14,14,7,false,3658,Buccaneer Field
2022,regular,2022-09-03T16:00:00.000Z,true,2038,Assumption,Northeast 10,ii,3,3,0,0,0,2315,Kutztown,Pennsylvania State Athletic,ii,0,0,0,0,0,false,3848,Multi-Sport Stadium
